,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
42,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b4-(NH3)(1+),y10(2+),1.0,1.0,0.479
43,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b4-(NH3)(1+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.481
44,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,y4-(H2O)(1+),b10(2+),1.0,1.0,0.5
45,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,y4-(NH3)(1+),b10(2+),1.0,1.0,0.51
46,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,a9-(CH3NH2)-(HCOH)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.51
47,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,bi(2-9)-(HCOH)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.52
48,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b8-(HCOH)(2+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.52
49,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b4-(H2O)(1+),y10(2+),1.0,1.0,0.528
50,[y4-NH3] (1+) @ 358.67 & b10 (2+) @ 476.33,358.67,476.33,b4-(H2O)(1+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.53
51,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,375.67,476.33,b4(1+),y10(2+),1.0,1.0,0.498
52,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,375.67,476.33,b4(1+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.5
53,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,375.67,476.33,a5-(HCOH)-(HCOH)(1+),y5-(NH3)-(HCOH)(1+),1.0,1.0,0.51
54,y4 (1+) @ 375.67 & b10 (2+) @ 476.33,375.67,476.33,y4(1+),b10(2+),1.0,1.0,0.53
55,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,376.0,176.67,b4(1+),ai(5-9)-(H2O)-(HCOH)(2+),1.0,1.0,0.459
56,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,376.0,176.67,y4(1+),ai(9-10)(1+),1.0,1.0,0.47
57,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,376.0,176.67,b4(1+),ai(5-9)-(NH3)-(HCOH)(2+),1.0,1.0,0.944
58,y4 (1+) @ 376.0 & ai9-10 (1+) @ 176.67,376.0,176.67,b4(1+),bi(5-8)-(H2O)(2+),1.0,1.0,0.944
59,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,376.0,467.67,b4(1+),y10-(NH3)(2+),1.0,1.0,0.171
60,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,376.0,467.67,y4(1+),b10-(NH3)(2+),1.0,1.0,0.194
61,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,376.0,467.67,b4(1+),y10-(H2O)(2+),1.0,1.0,0.459
62,y4 (1+) @ 376.0 & [b10 - NH3] (2+) @ 467.67,376.0,467.67,y4(1+),b10-(H2O)(2+),1.0,1.0,0.488
63,y9 (2+) @ 432.67 & ??? @ 383.0,432.67,383.0,a6-(HCOH)-(HCOH)(1+),y8-(HN=C=NH)(2+),1.0,1.0,0.52
64,y9 (2+) @ 432.67 & ??? @ 383.0,432.67,383.0,bi(2-6)-(HCOH)(1+),y8-(HN=C=NH)(2+),1.0,1.0,0.548
65,y9 (2+) @ 432.67 & ??? @ 383.0,432.67,383.0,b5-(HCOH)(1+),y8-(HN=C=NH)(2+),1.0,1.0,0.548
66,y9 (2+) @ 432.67 & [b5 - NH3] (1+) @ 446.0,432.67,446.0,y9(2+),b5-(NH3)(1+),1.0,1.0,0.18
67,y9 (2+) @ 432.67 & [b5 - NH3] (1+) @ 446.0,432.67,446.0,y9(2+),b5-(H2O)(1+),1.0,1.0,0.822
68,y9 (2+) @ 432.67 & [b5 - NH3] (1+) @ 446.0,432.67,446.0,bi(7-10)(1+),a6-(NH3)-(HCOH)(1+),1.0,1.0,0.926
69,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,432.67,463.0,y9(2+),b5(1+),1.0,1.0,0.199
70,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,432.67,463.0,a6-(HCOH)-(HCOH)(1+),y5-(HCOH)-(HCOH)(1+),1.0,1.0,0.537
71,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,432.67,463.0,b5-(HCOH)(1+),y5-(HCOH)-(HCOH)(1+),1.0,1.0,0.564
72,y9 (2+) @ 432.67 & b5 (1+) @ 463.0,432.67,463.0,bi(7-10)(1+),a6-(HCOH)(1+),1.0,1.0,0.908
73,[b10/y10 – H2O – 2(NH3)] (2+) @ 450.0 & y4/b4 @ 376.0,450.0,376.0,,,1.0,1.0,
74,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,y10-2(H2O)(2+),b4(1+),1.0,1.0,0.468
75,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,bi(6-10)-(CH3NH2)(1+),y4(1+),1.0,1.0,0.488
76,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,b10-2(H2O)(2+),y4(1+),1.0,1.0,0.488
77,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,a6-2(NH3)(1+),y4(1+),1.0,1.0,0.544
78,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,y5-2(NH3)-(HCOH)(1+),b4(1+),1.0,1.0,0.554
79,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,b10-2(NH3)(2+),y4(1+),1.0,1.0,0.563
80,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,y10-2(NH3)(2+),b4(1+),1.0,1.0,0.573
81,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,bi(6-10)-(HCOH)(1+),y4(1+),1.0,1.0,0.61
82,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,bi(6-10)-(CH3NH2)(1+),a5-(HCOH)-(HCOH)(1+),1.0,1.0,0.944
83,[y10 – NH3 – H2O] (2+) @ 458.67 & b4/y4 (1+) @ 376.0,458.67,376.0,y5-2(NH3)-(HCOH)(1+),a5-(HCOH)-(HCOH)(1+),1.0,1.0,0.985
84,461.67 & 389.0,461.67,389.0,a6-(HCOH)(1+),y8-(HCOH)(2+),1.0,1.0,0.57
85,461.67 & 389.0,461.67,389.0,a6-(HCOH)(1+),y8-(CH3NH2)(2+),1.0,1.0,0.614
86,461.67 & 389.0,461.67,389.0,ai(6-10)(1+),a5-(NH3)-(HCOH)(1+),1.0,1.0,0.935
87,y10 (2+) @ 476.33 & a4 (1+) @ 348.0,476.33,348.0,y10(2+),a4(1+),1.0,1.0,0.184
88,y10 (2+) @ 476.33 & a4 (1+) @ 348.0,476.33,348.0,y5-(NH3)-(HCOH)(1+),a4(1+),1.0,1.0,0.189
89,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,ai(3-7)-(CH3NH2)-(HCOH)(1+),y7(2+),1.0,1.0,0.184
90,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,ai(6-11)-(CH3NH2)(1+),y3(1+),1.0,1.0,0.192
91,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,b11-2(NH3)(2+),y3(1+),1.0,1.0,0.416
92,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,b11-2(H2O)(2+),y3(1+),1.0,1.0,0.624
93,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,ai(5-10)-(CH3NH2)-(HCOH)(1+),a4-(HCOH)(1+),1.0,1.0,0.855
94,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,y5-2(H2O)(1+),a4-(HCOH)(1+),1.0,1.0,0.855
95,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,ai(3-7)-(HCOH)-(HCOH)(1+),y7(2+),1.0,1.0,0.954
96,[b11 – H2O – NH3] (2+) @ 487.33 & y3 (1+) @ 319.0,487.33,319.0,ai(6-11)-(HCOH)(1+),y3(1+),1.0,1.0,0.955
97,b11 (1+) @ 504.67 & [y3 – CO2] (1+) @ 274.0,504.67,274.0,y5-(H2O)(1+),bi(4-9)-(HCOH)(2+),1.0,1.0,0.683
98,b11 (1+) @ 504.67 & [y3 – CO2] (1+) @ 274.0,504.67,274.0,y5-(H2O)(1+),ai(4-9)(2+),1.0,1.0,0.871
99,[y11 - G] (2+) @ 521.67 & [b3 + G] (1+) @ 285.67,521.67,285.67,,,1.0,1.0,
100,y5 (1+) @ 523.33 & [b9 – H2O – NH3] (2+) @ 385.0,523.33,385.0,y5(1+),b9-2(H2O)(2+),1.0,1.0,0.328
101,y5 (1+) @ 523.33 & [b9 – H2O – NH3] (2+) @ 385.0,523.33,385.0,y5(1+),b9-2(NH3)(2+),1.0,1.0,0.674
102,y5 (1+) @ 523.33 & [b9 – H2O – NH3] (2+) @ 385.0,523.33,385.0,y5(1+),ai(5-9)-(NH3)(1+),1.0,1.0,0.813
103,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0,523.33,394.0,y5(1+),b9-(NH3)(2+),1.0,1.0,0.193
104,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0,523.33,394.0,y5(1+),b9-(H2O)(2+),1.0,1.0,0.318
105,y5 (1+) @ 523.33 & [b9 - NH3] (2+) @ 394.0,523.33,394.0,y5(1+),bi(5-9)-2(H2O)(1+),1.0,1.0,0.803
106,y5 (1+) @ 523.33 & b9 (2+) @ 402.67,523.33,402.67,y5(1+),b9(2+),1.0,1.0,0.073
107,y5 (1+) @ 523.33 & b9 (2+) @ 402.67,523.33,402.67,y5(1+),b5-(HCOH)-(HCOH)(1+),1.0,1.0,0.505
108,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),ai(5-9)-(CH3NH2)(1+),1.0,1.0,0.437
109,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),b9-2(NH3)-(HCOH)(2+),1.0,1.0,0.526
110,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),a9-2(H2O)(2+),1.0,1.0,0.539
111,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),b9-2(H2O)-(HCOH)(2+),1.0,1.0,0.769
112,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),a5-2(NH3)-(HCOH)(1+),1.0,1.0,0.899
113,y5 (1+) @ 523.67 & ??? @ 370.33,523.67,370.33,y5(1+),ai(5-9)-(HCOH)(1+),1.0,1.0,0.971
114,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,540.67,228.0,ai(6-12)-2(NH3)(1+),y2-2(NH3)(1+),1.0,1.0,0.589
115,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,540.67,228.0,ai(7-13)-2(NH3)-(HCOH)(1+),b6-2(H2O)-(HCOH)(2+),1.0,1.0,0.705
116,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,540.67,228.0,ai(7-13)-2(NH3)-(HCOH)(1+),b6-2(NH3)-(HCOH)(2+),1.0,1.0,0.82
117,[y10-H2O] (1+) @ 540.67 & [bi3-4 – 2(NH3)] (1+) @ 228.0,540.67,228.0,ai(7-13)-2(NH3)-(HCOH)(1+),a6-2(H2O)(2+),1.0,1.0,0.835
118,549.67 & 165.33,549.67,165.33,y11(2+),a3-2(H2O)(1+),1.0,1.0,0.282
119,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),a4-(H2O)(2+),1.0,1.0,0.65
120,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),a3-2(H2O)(1+),1.0,1.0,0.654
121,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),b4-(NH3)-(HCOH)(2+),1.0,1.0,0.654
122,549.67 & 165.33,549.67,165.33,y11(2+),a3-(H20)-(NH3)(1+),1.0,1.0,0.738
123,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),a3-(H20)-(NH3)(1+),1.0,1.0,0.945
124,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),a4-(NH3)(2+),1.0,1.0,0.953
125,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),b4-(H2O)-(HCOH)(2+),1.0,1.0,0.968
126,549.67 & 165.33,549.67,165.33,y6-(HCOH)(1+),ai(7-8)-2(NH3)(1+),1.0,1.0,0.968
127,y11(2+) @ 549.67 & a3(1+) @ 201.67,549.67,201.67,y11(2+),a3(1+),1.0,1.0,0.59
128,y11(2+) @ 549.67 & a3(1+) @ 201.67,549.67,201.67,y6-(HCOH)(1+),b5-(HCOH)-(HCOH)(2+),1.0,1.0,0.732
129,y11(2+) @ 549.67 & a3(1+) @ 201.67,549.67,201.67,y6-(HCOH)(1+),a3(1+),1.0,1.0,0.835
130,y11(2+) @ 549.67 & a3(1+) @ 201.67,549.67,201.67,y6-(HCOH)(1+),a5-2(NH3)(2+),1.0,1.0,0.849
131,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,550.0,183.33,y11(2+),a3-(H2O)(1+),1.0,1.0,0.333
132,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,550.0,183.33,y6-(HCOH)(1+),ai(7-8)-(NH3)(1+),1.0,1.0,0.342
133,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,550.0,183.33,y6-(HCOH)(1+),a3-(H2O)(1+),1.0,1.0,0.368
134,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,550.0,183.33,y11(2+),a3-(NH3)(1+),1.0,1.0,0.772
135,y11 (2+) @ 550.0 & [a3-NH3] (1+) @ 183.33,550.0,183.33,y6-(HCOH)(1+),a3-(NH3)(1+),1.0,1.0,0.788
136,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y11(2+),b3-2(H2O)(1+),1.0,1.0,0.341
137,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y6-(HCOH)(1+),b3-2(H2O)(1+),1.0,1.0,0.375
138,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y11(2+),b3-(H20)-(NH3)(1+),1.0,1.0,0.762
139,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y6-(HCOH)(1+),b3-(H20)-(NH3)(1+),1.0,1.0,0.778
140,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y6-(HCOH)(1+),a5-(H2O)-(HCOH)(2+),1.0,1.0,0.807
141,y11 (2+) @ 550.0 & [a3 – 2(H2O)] (1+) @ 193.33,550.0,193.33,y6-(HCOH)(1+),bi(7-8)-2(NH3)(1+),1.0,1.0,0.807
142,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,550.0,210.67,y11(2+),b3-(H2O)(1+),1.0,1.0,0.465
143,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,550.0,210.67,y6-(HCOH)(1+),b3-(H2O)(1+),1.0,1.0,0.491
144,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,550.0,210.67,y6-(HCOH)(1+),bi(7-8)-(NH3)(1+),1.0,1.0,0.525
145,y11 (2+) @ 550.0 & [b3 - H2O] (1+) @ 210.67,550.0,210.67,y6-(HCOH)(1+),bi(7-8)-(H2O)(1+),1.0,1.0,0.595
146,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),a6-2(H2O)(2+),1.0,1.0,0.279
147,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),b6-2(NH3)-(HCOH)(2+),1.0,1.0,0.285
148,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y11(2+),b3(1+),1.0,1.0,0.474
149,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),b3(1+),1.0,1.0,0.499
150,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),ai(4-8)-2(NH3)(2+),1.0,1.0,0.516
151,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),bi(7-8)(1+),1.0,1.0,0.586
152,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),ai(4-8)-2(H2O)(2+),1.0,1.0,0.604
153,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),bi(4-8)-2(NH3)-(HCOH)(2+),1.0,1.0,0.622
154,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),a6-2(NH3)(2+),1.0,1.0,0.959
155,y11 (2+) @ 550.0 & b3 (1+) @ 228.67,550.0,228.67,y6-(HCOH)(1+),bi(4-8)-(CH3NH2)-(HCOH)(2+),1.0,1.0,0.978
156,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0,559.33,175.0,bi(5-10)-(NH3)(1+),a4(2+),1.0,1.0,0.426
157,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0,559.33,175.0,b13-2(NH3)(2+),y1(1+),1.0,1.0,0.427
158,[b13-H2O-NH3] (2+) @ 559.33 & y1(1+) @ 175.0,559.33,175.0,b13-2(H2O)(2+),y1(1+),1.0,1.0,0.592
159,[y11 + G] (2+) @ 578.33 & bi2-3 (1+) @ 171.67,578.33,171.67,,,1.0,1.0,
160,y6 (1+) @ 580.33 & [b8 – H2O - NH3] (2+) @ 356.67,580.33,356.67,y6(1+),b8-2(NH3)(2+),1.0,1.0,0.483
161,y6 (1+) @ 580.33 & [b8 – H2O - NH3] (2+) @ 356.67,580.33,356.67,y6(1+),b8-2(H2O)(2+),1.0,1.0,0.502
162,y6 (1+) @ 580.33 & [b8 - NH3] (2+) @ 365.33,580.33,365.33,y6(1+),b8-(H2O)(2+),1.0,1.0,0.158
163,y6 (1+) @ 580.33 & [b8 - NH3] (2+) @ 365.33,580.33,365.33,y6(1+),b8-(NH3)(2+),1.0,1.0,0.344
164,y6 (1+) @ 580.33 & b8 (2+) @ 374.0,580.33,374.0,y6(1+),b8(2+),1.0,1.0,0.187
165,589.33 & 131.67,589.33,131.67,,,1.0,1.0,
166,??? @ 595.33 & [b8 - NH3] (2+) @ 366.0,595.33,366.0,,,1.0,1.0,
167,637.0 & 314.33,637.0,314.33,y7(1+),a4-2(NH3)(1+),1.0,1.0,0.38
168,637.0 & 314.33,637.0,314.33,y7(1+),a7-2(NH3)(2+),1.0,1.0,0.438
169,637.0 & 314.33,637.0,314.33,y7(1+),a7-2(H2O)(2+),1.0,1.0,0.738
170,637.0 & 314.33,637.0,314.33,y7(1+),b7-2(NH3)-(HCOH)(2+),1.0,1.0,0.756
171,637.0 & 314.33,637.0,314.33,y7(1+),b7-(CH3NH2)-(HCOH)(2+),1.0,1.0,0.867
172,637.0 & 314.33,637.0,314.33,y7(1+),bi(5-7)(1+),1.0,1.0,0.905
173,y7 (1+) @ 637.33 & [b7 – H2O – NH3] (2+) @ 328.0,637.33,328.0,y7(1+),b4-(H2O)-(HCOH)(1+),1.0,1.0,0.141
174,y7 (1+) @ 637.33 & [b7 – H2O – NH3] (2+) @ 328.0,637.33,328.0,y7(1+),b7-2(H2O)(2+),1.0,1.0,0.341
175,y7 (1+) @ 637.33 & [b7 – H2O – NH3] (2+) @ 328.0,637.33,328.0,y7(1+),b7-2(NH3)(2+),1.0,1.0,0.64
176,y7 (1+) @ 637.33 & [b7 - NH3] (2+) @ 337.0,637.33,337.0,y7(1+),b7-(NH3)(2+),1.0,1.0,0.161
177,y7 (1+) @ 637.33 & [b7 - NH3] (2+) @ 337.0,637.33,337.0,y7(1+),b7-(H2O)(2+),1.0,1.0,0.341
178,y7 (1+) @ 637.33 & b7 (2+) @ 345.67,637.33,345.67,y7(1+),b7(2+),1.0,1.0,0.02
179,y7 (1+) @ 637.33 & b7 (2+) @ 345.67,637.33,345.67,y7(1+),b4-(HCOH)(1+),1.0,1.0,0.48
