,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
76,[b5-H2O-NH3] (1+) @ 599.96 & y6 (2+) @ 445.31,599.96,445.31,y5-(CH2S)(1+),a4-(NH3)-(HCOH)(1+),1.0,1.0,0.626
77,[b5-H2O-NH3] (1+) @ 599.96 & y6 (2+) @ 445.31,599.96,445.31,b5-2(H2O)(1+),y6(2+),1.0,1.0,0.973
78,[b5-H2O-NH3] (1+) @ 599.96 & y6 (2+) @ 445.31,599.96,445.31,y5-(CH2S)(1+),ai(4-6)(1+),1.0,1.0,0.99
79,[bi5-9 – CH3CH2SCH3] (1+) @ 608.2 & y2 (1+) @ 320.89,608.2,320.89,bi(5-9)-(CH3CH2SCH3)(1+),y2(1+),1.0,1.0,0.69
80,[bi5-9 – CH3CH2SCH3] (1+) @ 608.2 & y2 (1+) @ 320.89,608.2,320.89,ai(5-9)-(CH3SH)(1+),y2(1+),1.0,1.0,0.69
81,[y9-NH3] (2+) @ 624.77 & [b2-NH3] (1+) @ 239.79,624.77,239.79,y9-(NH3)(2+),b2-(H2O)(1+),1.0,1.0,0.311
82,[y9-NH3] (2+) @ 624.77 & [b2-NH3] (1+) @ 239.79,624.77,239.79,y9-(H2O)(2+),b2-(H2O)(1+),1.0,1.0,0.605
83,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,bi(4-8)-2(NH3)(1+),y3-(HCOH)(2+),1.0,1.0,0.662
84,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,y9(2+),b2-(HCOOH)(1+),1.0,1.0,0.707
85,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,y9(2+),a2-(H2O)(1+),1.0,1.0,0.707
86,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,ai(3-7)-(NH3)(1+),b2-(HCOOH)(1+),1.0,1.0,0.793
87,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,ai(3-7)-(NH3)(1+),a2-(H2O)(1+),1.0,1.0,0.793
88,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,y9(2+),b2-(NH3)-(HCOH)(1+),1.0,1.0,0.87
89,y9(2+) @ 633.84 & [a2-NH3](1+) @ 211.71,633.84,211.71,ai(3-7)-(NH3)(1+),b2-(NH3)-(HCOH)(1+),1.0,1.0,0.941
90,y9(2+) @ 633.88 & [b2-NH3] (1+) @ 239.74,633.88,239.74,y9(2+),b2-(H2O)(1+),1.0,1.0,0.726
91,y9(2+) @ 633.88 & [b2-NH3] (1+) @ 239.74,633.88,239.74,ai(3-7)-(NH3)(1+),b2-(H2O)(1+),1.0,1.0,0.814
92,y9 (2+) @ 634.11 & ??? @ 194.76,634.11,194.76,bi(4-8)-2(NH3)(1+),b3-(NH3)(2+),1.0,1.0,0.182
93,y9 (2+) @ 634.11 & ??? @ 194.76,634.11,194.76,bi(4-8)-2(NH3)(1+),b3-(H2O)(2+),1.0,1.0,0.671
94,y9 (2+) @ 634.11 & ??? @ 194.76,634.11,194.76,bi(4-8)-2(NH3)(1+),y3-2(NH3)-(HCOH)(2+),1.0,1.0,0.671
95,y9 (2+) @ 634.11 & [b2 – H2O – NH3] (1+) @ 222.72,634.11,222.72,,,1.0,1.0,
96,y9(2+) @ 634.16 & b2(1+) @ 257.79,634.16,257.79,y9(2+),b2(1+),1.0,1.0,0.965
97,y5 (1+) @ 646.3 & [b4-HCOH – H2O] (1+) @ 456.09,646.3,456.09,y5(1+),bi(4-6)-(H2O)(1+),1.0,1.0,0.96
98,y5 (1+) @ 646.3 & [b4-HCOH – H2O] (1+) @ 456.09,646.3,456.09,y5(1+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.961
99,y5 (1+) @ 646.3 & [b4-HCOH – H2O] (1+) @ 456.09,646.3,456.09,y5(1+),a4-2(H2O)(1+),1.0,1.0,0.964
100,y5 (1+) @ 646.41 & bi5-6 (1+) @ 312.22,646.41,312.22,,,1.0,1.0,
101,y5+ @ 646.41 & bi5-6 (1+) @ 359.02,646.41,359.02,,,1.0,1.0,
102,bi5-9 (1+) @ 656.39 & y2 (1+) @ 321.11,656.39,321.11,ai(5-9)(1+),y2(1+),1.0,1.0,0.928
103,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,bi(5-9)(1+),a4-2(H2O)(1+),1.0,1.0,0.423
104,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,bi(5-9)(1+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.43
105,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,bi(5-10)-(CH3CH2SCH3)-(HPO3)(1+),a4-2(H2O)(1+),1.0,1.0,0.522
106,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,bi(5-10)-(CH3CH2SCH3)-(HPO3)(1+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.528
107,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,ai(5-10)-(CH3SH)-(HPO3)(1+),a4-2(H2O)(1+),1.0,1.0,0.552
108,[bi5-9] (1+) @ 683.79 & [b4 - HCOH – H2O] (1+) @ 456.23,683.79,456.23,ai(5-10)-(CH3SH)-(HPO3)(1+),b4-2(NH3)-(HCOH)(1+),1.0,1.0,0.557
109,bi5-9 (1+) @ 683.85 & bi3-4 (1+) @ 263.1,683.85,263.1,,,1.0,1.0,
110,bi5-9 (1+) @ 684.16 & y2 (1+) @ 321.1,684.16,321.1,bi(5-9)(1+),y2(1+),1.0,1.0,0.901
111,bi3-8 (1+) @ 815.6 & y3 (1+) @ 452.34,815.6,452.34,,,1.0,1.0,
112,bi5-10 (1+) @ 840.36 & [b4 – H2O – NH3] (1+) @ 485.91,840.36,485.91,y6-(H2O)-(HCOH)(1+),b4-2(NH3)(1+),1.0,1.0,0.24
113,bi5-10 (1+) @ 840.36 & [b4 – H2O – NH3] (1+) @ 485.91,840.36,485.91,y6-(CH3SH)(1+),b4-2(NH3)(1+),1.0,1.0,0.24
114,bi5-10 (1+) @ 840.36 & [b4 – H2O – NH3] (1+) @ 485.91,840.36,485.91,bi(5-10)(1+),b4-2(NH3)(1+),1.0,1.0,0.245
115,bi5-10 (1+) @ 840.36 & [b4 – H2O – NH3] (1+) @ 485.91,840.36,485.91,y6-(NH3)-(HCOH)(1+),b4-2(NH3)(1+),1.0,1.0,0.999
116,[b6-2(H2O)] (1+) @ 842.68 & y5 (2+) @ 323.57,842.68,323.57,b6-2(H2O)(1+),y5(2+),1.0,1.0,0.595
117,y6 (1+) @ 889.27 & a3 (1+) @ 378.19,889.27,378.19,y6(1+),bi(3-5)(1+),1.0,1.0,0.902
118,y6 (1+) @ 889.27 & a3 (1+) @ 378.19,889.27,378.19,b7-(HCOOH)(1+),bi(8-10)-(CH3SH)(1+),1.0,1.0,0.96
119,y6 (1+) @ 889.27 & a3 (1+) @ 378.19,889.27,378.19,a7-(H2O)(1+),bi(8-10)-(CH3SH)(1+),1.0,1.0,0.96
120,bi5-8 (1+) @ 1553.17 & y3 (1+) @ 452.35,1553.17,452.35,,,1.0,1.0,
