,Ranking,m/z A,Interpretation A,error A,m/z B,Interpretation B,error B
27844,25,814.482029,y7 (+1),-0.00390064,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
3562,26,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,540.30326,y10 (+2),-0.00181291
5129,27,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273,540.804661,y10 (+2) (C13),-0.00153649
14301,28,540.30326,y10 (+2),-0.00181291,429.1995,internal 2:5 (+1),-0.00150966
4695,29,401.288604,y3 (+1),-0.00152387,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
27885,30,814.482029,y7 (+1),-0.00390064,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917
15472,31,566.278227,internal 3:8 (+1) (C13),-0.00198556,814.482029,y7 (+1),-0.00390064
11219,32,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775,540.804661,y10 (+2) (C13),-0.00153649
2248,33,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,814.482029,y7 (+1),-0.00390064
8785,34,500.357482,y4 (+1),-0.00198796,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658
16411,35,599.30583,b6 (+1),-0.00231197,505.285893,y9 (+2) (C13),-0.00132538
5550,36,425.707564,b9 (+2),-0.0012471,757.460091,y6 (+1),-0.00342636
17035,37,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,758.462697,y6 (+1) (C13),-0.00267753
3473,38,371.193813,internal 3:6 (+1),-0.00130197,1009.566717,y9 (+1) (C13),-0.00485823
9435,39,504.784561,y9 (+2),-0.0016708,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
17551,40,630.403825,y5 (+1) (C13),-0.00238304,750.356517,internal 3:10 (+1),-0.00358916
9437,41,504.784561,y9 (+2),-0.0016708,486.22122,No Match,-1000.0
14816,42,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658,401.288604,y3 (+1),-0.00152387
3300,43,316.114992,internal 2:4 (+1),-0.00106564,1079.601791,y10 (+1),-0.00617328
18982,44,655.362039,No Match,-1000.0,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
28900,45,1008.563901,y9 (+1),-0.00539706,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
28932,46,1008.563901,y9 (+1),-0.00539706,500.237156,internal 2:6 (+1),-0.00205188
28568,47,952.544553,y8 (+1) (C13),-0.00415795,428.215597,internal 3:7 (+1),-0.00162225
613,48,187.072039,internal 3:4 (+1),-0.00070573,596.845575,y11 (+2),-0.00209592
15864,49,596.845575,y11 (+2),-0.00209592,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219
9424,50,504.784561,y9 (+2),-0.0016708,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935
14255,51,537.279979,internal 3:8-CO (+1),-0.00200701,815.484834,y7 (+1) (C13),-0.00335081
15014,52,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839,500.357482,y4 (+1),-0.00198796
4518,53,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,1079.601791,y10 (+1),-0.00617328
9036,54,501.360683,y4 (+1) (C13),-0.00183413,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
14292,55,540.30326,y10 (+2),-0.00181291,399.225909,y7-NH3 (+2),0.00351886
7189,56,486.22122,No Match,-1000.0,505.285893,y9 (+2) (C13),-0.00132538
5302,57,416.187017,b4 (+1) (C13) / internal 6:10-H2O-H2O (+1) (C13),-0.0013219,540.30326,y10 (+2),-0.00181291
14333,58,540.30326,y10 (+2),-0.00181291,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392
2428,59,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,1008.563901,y9 (+1),-0.00539706
8406,60,500.237156,internal 2:6 (+1),-0.00205188,504.784561,y9 (+2),-0.0016708
4619,61,401.288604,y3 (+1),-0.00152387,603.793117,b12 (+2),-0.00200785
28461,62,951.541865,y8 (+1),-0.00482478,629.40075,y5 (+1),-0.00266287
3989,63,397.19662,b8 (+2),-0.00103496,815.484834,y7 (+1) (C13),-0.00335081
4863,64,402.292021,y3 (+1) (C13),-0.00158604,978.469136,b10 (+1) / internal 3:12 (+1),-0.00520116
4927,65,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935,505.285893,y9 (+2) (C13),-0.00132538
5825,66,429.1995,internal 2:5 (+1),-0.00150966,540.804661,y10 (+2) (C13),-0.00153649
977,67,201.087675,internal 2:3 (+1),-0.00069166,654.359227,y12 (+2),-0.00227641
14460,68,540.804661,y10 (+2) (C13),-0.00153649,316.114992,internal 2:4 (+1),-0.00106564
4433,69,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428,540.804661,y10 (+2) (C13),-0.00153649
269,70,175.119605,y1 (+1),-0.00065283,603.793117,b12 (+2),-0.00200785
4783,71,402.292021,y3 (+1) (C13),-0.00158604,554.258768,b11 (+2) / internal 2:12 (+2),-0.0018658
17444,72,630.403825,y5 (+1) (C13),-0.00238304,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435
19142,73,659.353388,No Match,-1000.0,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384
28150,74,815.484834,y7 (+1) (C13),-0.00335081,694.319024,internal 2:8 (+1),-0.0035443
28102,75,815.484834,y7 (+1) (C13),-0.00335081,566.278227,internal 3:8 (+1) (C13),-0.00198556
9618,76,505.285893,y9 (+2) (C13),-0.00132538,500.237156,internal 2:6 (+1),-0.00205188
27349,77,758.462697,y6 (+1) (C13),-0.00267753,425.707564,b9 (+2),-0.0012471
26853,78,754.901072,y14 (+2) (C13),-0.00259056,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044
29410,79,1080.604578,y10 (+1) (C13),-0.00560545,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
857,80,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,815.484834,y7 (+1) (C13),-0.00335081
17262,81,629.40075,y5 (+1),-0.00266287,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
1669,82,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553,646.348316,y12-NH3 (+2) (C13),-0.00296254
21799,83,681.370686,y13-H2O (+2) (C13),0.00121656,500.273383,b5-CO (+1),-0.00189337
11880,84,530.954686,No Match,-1000.0,500.237156,internal 2:6 (+1),-0.00205188
17436,85,630.403825,y5 (+1) (C13),-0.00238304,475.739504,b10-CO (+2) / internal 3:12-CO (+2),-0.00135566
7991,86,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,815.484834,y7 (+1) (C13),-0.00335081
18809,87,654.860832,y12 (+2) (C13),-0.00220399,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
14325,88,540.30326,y10 (+2),-0.00181291,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044
26883,89,754.901072,y14 (+2) (C13),-0.00259056,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
8519,90,500.237156,internal 2:6 (+1),-0.00205188,1009.566717,y9 (+1) (C13),-0.00485823
28698,91,952.544553,y8 (+1) (C13),-0.00415795,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707
2249,92,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,815.484834,y7 (+1) (C13),-0.00335081
12244,93,531.297907,y10-H2O (+2),-0.00174225,528.268562,b5 (+1) / internal 3:13-H2O-H2O (+2) / internal 5:10-H2O-H2O (+1),-0.00215775
1176,94,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315,689.877751,y13 (+2),-0.00224352
4537,95,401.288604,y3 (+1),-0.00152387,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
13910,96,536.625725,Parent (+3) (C13),-0.00150724,952.544553,y8 (+1) (C13),-0.00415795
12180,97,531.297907,y10-H2O (+2),-0.00174225,156.102426,No Match,-1000.0
13880,98,536.625725,Parent (+3) (C13),-0.00150724,690.880814,No Match,-1000.0
15657,99,587.840184,y11-H2O (+2),-0.00198726,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
2951,100,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,1009.566717,y9 (+1) (C13),-0.00485823
9823,101,505.787346,No Match,-1000.0,536.625725,Parent (+3) (C13),-0.00150724
9248,102,503.602581,No Match,-1000.0,401.288604,y3 (+1),-0.00152387
20774,103,668.361566,No Match,-1000.0,530.954686,No Match,-1000.0
29261,104,1079.601791,y10 (+1),-0.00617328,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
26741,105,754.399472,y14 (+2),-0.00266797,668.361566,No Match,-1000.0
14482,106,540.804661,y10 (+2) (C13),-0.00153649,482.262768,b5-H2O-CO (+1) / b5-HCOOH (+1) / internal 9:13-CO-NH3 (+1),-0.00184306
14293,107,540.30326,y10 (+2),-0.00181291,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
22455,108,683.374046,No Match,-1000.0,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
29424,109,1080.604578,y10 (+1) (C13),-0.00560545,316.114992,internal 2:4 (+1),-0.00106564
3553,110,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,532.294456,y10-NH3 (+2) (C13),-0.00460604
29684,111,1091.55473,internal 3:13 (+1),-0.00673118,646.372715,No Match,-1000.0
16715,112,610.345456,No Match,-1000.0,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
5690,113,428.215597,internal 3:7 (+1),-0.00162225,675.365928,y13-HCOH (+2) (C13),0.0059744
11840,114,530.954686,No Match,-1000.0,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
5736,115,428.215597,internal 3:7 (+1),-0.00162225,1079.601791,y10 (+1),-0.00617328
29040,116,1008.563901,y9 (+1),-0.00539706,757.460091,y6 (+1),-0.00342636
382,117,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,460.254049,No Match,-1000.0
6618,118,476.775123,y8 (+2) (C13),-0.00128724,201.124072,b2-CO (+1) / internal 4:5-CO (+1) / internal 11:12-CO (+1),-0.00070315
18635,119,654.359227,y12 (+2),-0.00227641,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
25597,120,746.307712,No Match,-1000.0,371.193813,internal 3:6 (+1),-0.00130197
29589,121,1091.55473,internal 3:13 (+1),-0.00673118,229.119049,b2 (+1) / internal 4:5 (+1) / internal 11:12 (+1),-0.00076553
361,122,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937
19440,123,660.387149,No Match,-1000.0,681.870748,No Match,-1000.0
28282,124,879.399748,internal 2:10 (+1) / internal 3:11 (+1),-0.00422707,599.30583,b6 (+1),-0.00231197
18285,125,646.851595,No Match,-1000.0,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
2618,126,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
16360,127,599.30583,b6 (+1),-0.00231197,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
7823,128,489.73711,b10 (+2) / internal 3:12 (+2),-0.00150435,1009.566717,y9 (+1) (C13),-0.00485823
11498,129,530.2879,Parent-H2O (+3),-0.00165542,288.204002,y2 (+1),-0.00098585
27823,130,759.893576,No Match,-1000.0,758.462697,y6 (+1) (C13),-0.00267753
5810,131,429.1995,internal 2:5 (+1),-0.00150966,530.954686,No Match,-1000.0
19689,132,661.357419,No Match,-1000.0,402.292021,y3 (+1) (C13),-0.00158604
30249,133,1205.641873,internal 3:14 (+1) (C13),-0.00645537,746.307712,No Match,-1000.0
23030,134,689.877751,y13 (+2),-0.00224352,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363
10507,135,521.631926,No Match,-1000.0,530.621016,Parent-H2O (+3) (C13),-0.00031981
9898,136,505.787346,No Match,-1000.0,754.901072,y14 (+2) (C13),-0.00259056
16023,137,597.346987,y11 (+2) (C13),-0.0018305,298.104311,internal 2:4-H2O (+1) / internal 9:11-NH3 (+1),-0.00094933
9658,138,505.285893,y9 (+2) (C13),-0.00132538,566.278227,internal 3:8 (+1) (C13),-0.00198556
27970,139,814.482029,y7 (+1),-0.00390064,688.870291,No Match,-1000.0
19867,140,661.858094,No Match,-1000.0,425.707564,b9 (+2),-0.0012471
27902,141,814.482029,y7 (+1),-0.00390064,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363
396,142,183.113388,b2-H2O-CO (+1) / b2-HCOOH (+1) / internal 4:5-H2O-CO (+1) / internal 4:5-HCOOH (+1) / internal 11:12-H2O-CO (+1) / internal 11:12-HCOOH (+1),-0.00058384,500.237156,internal 2:6 (+1),-0.00205188
29581,143,1091.55473,internal 3:13 (+1),-0.00673118,175.119605,y1 (+1),-0.00065283
10147,144,517.276486,No Match,-1000.0,505.285893,y9 (+2) (C13),-0.00132538
4954,145,411.188975,internal 2:5-H2O (+1) / internal 3:7-NH3 (+1),-0.00154935,540.30326,y10 (+2),-0.00181291
14991,146,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839,402.292021,y3 (+1) (C13),-0.00158604
24270,147,722.392114,No Match,-1000.0,541.306032,No Match,-1000.0
18824,148,654.860832,y12 (+2) (C13),-0.00220399,428.215597,internal 3:7 (+1),-0.00162225
3849,149,397.19662,b8 (+2),-0.00103496,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
3451,150,371.193813,internal 3:6 (+1),-0.00130197,745.394437,y14-H2O (+2),-0.00291531
11364,151,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,504.784561,y9 (+2),-0.0016708
152,152,156.102426,No Match,-1000.0,753.896121,No Match,-1000.0
22159,153,682.371222,No Match,-1000.0,524.284538,Parent-H2O-H2O (+3),-0.00181498
2887,154,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,646.348316,y12-NH3 (+2) (C13),-0.00296254
28143,155,815.484834,y7 (+1) (C13),-0.00335081,683.374046,No Match,-1000.0
2955,156,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007
24314,157,722.392114,No Match,-1000.0,682.872369,No Match,-1000.0
3746,158,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,597.346987,y11 (+2) (C13),-0.0018305
3736,159,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342,540.30326,y10 (+2),-0.00181291
18966,160,655.362039,No Match,-1000.0,156.102426,No Match,-1000.0
5703,161,428.215597,internal 3:7 (+1),-0.00162225,691.382239,No Match,-1000.0
24194,162,722.392114,No Match,-1000.0,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
24513,163,725.878589,No Match,-1000.0,754.399472,y14 (+2),-0.00266797
23173,164,690.379342,y13 (+2) (C13),-0.0021571,425.707564,b9 (+2),-0.0012471
19496,165,660.881708,No Match,-1000.0,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032
14636,166,541.306032,No Match,-1000.0,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673
29468,167,1080.604578,y10 (+1) (C13),-0.00560545,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363
18044,168,646.348316,y12-NH3 (+2) (C13),-0.00296254,675.365928,y13-HCOH (+2) (C13),0.0059744
21072,169,668.863524,y13-HNCNH (+2),0.00108448,316.114992,internal 2:4 (+1),-0.00106564
9973,170,510.25783,b5-H2O (+1) / internal 9:13-NH3 (+1),-0.00199044,505.285893,y9 (+2) (C13),-0.00132538
17590,171,645.354248,y12-H2O (+2),-0.00257975,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
17837,172,645.850301,y12-H2O (+2) (C13),0.00304467,587.840184,y11-H2O (+2),-0.00198726
11404,173,529.270973,b5 (+1) (C13) / internal 5:10-H2O-H2O (+1) (C13),-0.00121392,599.30583,b6 (+1),-0.00231197
22306,174,682.872369,No Match,-1000.0,460.254049,No Match,-1000.0
11750,175,530.621016,Parent-H2O (+3) (C13),-0.00031981,597.346987,y11 (+2) (C13),-0.0018305
4610,176,401.288604,y3 (+1),-0.00152387,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839
29431,177,1080.604578,y10 (+1) (C13),-0.00560545,401.20454,internal 2:5-CO (+1) / internal 7:14-NH3-NH3 (+2) (C13),-0.00146428
25397,178,745.394437,y14-H2O (+2),-0.00291531,1009.566717,y9 (+1) (C13),-0.00485823
744,179,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795,500.237156,internal 2:6 (+1),-0.00205188
15003,180,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
12615,181,531.794223,y10-H2O (+2) (C13),0.00361917,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039
15143,182,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,201.087675,internal 2:3 (+1),-0.00069166
8610,183,500.273383,b5-CO (+1),-0.00189337,541.306032,No Match,-1000.0
7280,184,486.22122,No Match,-1000.0,745.895269,y14-H2O (+2) (C13),-0.0020699
2077,185,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897,951.541865,y8 (+1),-0.00482478
16959,186,622.296933,internal 3:9 (+1) / b7-H2O-NH3 (+1) (C13),-0.00258267,537.279979,internal 3:8-CO (+1),-0.00200701
3374,187,371.193813,internal 3:6 (+1),-0.00130197,530.954686,No Match,-1000.0
26970,188,755.402417,No Match,-1000.0,156.102426,No Match,-1000.0
8703,189,500.357482,y4 (+1),-0.00198796,187.072039,internal 3:4 (+1),-0.00070573
3563,190,383.194391,b8-CO (+2) / internal 2:5-H2O-CO (+1) / internal 2:5-HCOOH (+1) / internal 3:7-CO-NH3 (+1),0.00373673,540.804661,y10 (+2) (C13),-0.00153649
15910,191,596.845575,y11 (+2),-0.00209592,536.182618,No Match,-1000.0
195,192,175.119605,y1 (+1),-0.00065283,397.173179,b4-H2O (+1) / internal 9:12-NH3 (+1),-0.00140342
28901,193,1008.563901,y9 (+1),-0.00539706,301.159861,b3 (+1) (C13) / internal 3:5 (+1) (C13) / internal 4:6 (+1) (C13),-0.00110892
15671,194,588.337358,y11-H2O (+2) (C13),0.00251616,230.122528,b2 (+1) (C13) / internal 4:5 (+1) (C13) / internal 11:12 (+1) (C13),-0.0008897
24973,195,732.407144,internal 8:14-CO-NH3 (+1),-0.0032432,596.845575,y11 (+2),-0.00209592
7564,196,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727,540.30326,y10 (+2),-0.00181291
15047,197,554.760058,b11 (+2) (C13) / internal 2:12 (+2) (C13),-0.00147839,540.804661,y10 (+2) (C13),-0.00153649
15199,198,565.275177,internal 3:8 (+1) / b6-H2O-NH3 (+1) (C13),-0.00229039,524.284538,Parent-H2O-H2O (+3),-0.00181498
19110,199,655.362039,No Match,-1000.0,736.389846,y14-H2O-H2O (+2),-0.00360666
15617,200,587.840184,y11-H2O (+2),-0.00198726,689.374307,No Match,-1000.0
24253,201,722.392114,No Match,-1000.0,530.621016,Parent-H2O (+3) (C13),-0.00031981
1421,202,202.127494,b2-CO (+1) (C13) / internal 4:5-CO (+1) (C13) / internal 11:12-CO (+1) (C13),-0.00077032,415.183883,b4 (+1) / internal 6:10-H2O-H2O (+1),-0.00154273
23506,203,691.382239,No Match,-1000.0,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975
6094,204,460.588166,No Match,-1000.0,195.08835,internal 7:8 (+1) / internal 8:9 (+1),-0.00069795
23727,205,694.319024,internal 2:8 (+1),-0.0035443,524.951635,No Match,-1000.0
28186,206,815.484834,y7 (+1) (C13),-0.00335081,1204.639002,internal 3:14 (+1),-0.0069392
6554,207,476.273741,y8 (+2),-0.00158266,667.389809,No Match,-1000.0
5911,208,429.1995,internal 2:5 (+1),-0.00150966,1080.604578,y10 (+1) (C13),-0.00560545
17878,209,645.850301,y12-H2O (+2) (C13),0.00304467,688.870291,No Match,-1000.0
13894,210,536.625725,Parent (+3) (C13),-0.00150724,746.395337,internal 5:12-H2O-CO (+1) / internal 5:12-HCOOH (+1) / internal 6:13-H2O-CO (+1) / internal 6:13-HCOOH (+1),-0.00093827
8043,211,495.779102,y9-H2O (+2),-0.00149414,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
7177,212,486.22122,No Match,-1000.0,487.767518,y9-H2O-NH3 (+2) (C13),-0.00150727
2872,213,300.156407,b3 (+1) / b6 (+2) / internal 3:5 (+1) / internal 4:6 (+1),-0.00100975,566.278227,internal 3:8 (+1) (C13),-0.00198556
3223,214,316.114992,internal 2:4 (+1),-0.00106564,596.845575,y11 (+2),-0.00209592
29825,215,1107.512648,b11 (+1) / internal 2:12 (+1),-0.00612007,531.621297,No Match,-1000.0
14517,216,540.804661,y10 (+2) (C13),-0.00153649,535.955778,No Match,-1000.0
15895,217,596.845575,y11 (+2),-0.00209592,524.284538,Parent-H2O-H2O (+3),-0.00181498
2429,218,272.161442,b3-CO (+1) / b6-CO-CO (+2) / internal 3:5-CO (+1) / internal 4:6-CO (+1),-0.00095937,1009.566717,y9 (+1) (C13),-0.00485823
2207,219,266.125697,internal 6:8 (+1) / internal 3:8-H2O-NH3 (+2) (C13) / internal 5:10-NH3-NH3 (+2) (C13),-0.00093117,668.361566,No Match,-1000.0
29514,220,1080.604578,y10 (+1) (C13),-0.00560545,654.860832,y12 (+2) (C13),-0.00220399
10985,221,524.951635,No Match,-1000.0,398.232448,No Match,-1000.0
20745,222,668.361566,No Match,-1000.0,482.226425,internal 2:6-H2O (+1) / internal 2:11-H2O-CO (+2) (C13) / internal 2:11-HCOOH (+2) (C13),-0.00188557
21651,223,680.872829,y13-H2O (+2),-0.00260386,535.955778,No Match,-1000.0
2531,224,288.204002,y2 (+1),-0.00098585,603.793117,b12 (+2),-0.00200785
14765,225,541.306032,No Match,-1000.0,746.892819,No Match,-1000.0
10791,226,524.616921,Parent-H2O-H2O (+3) (C13),0.00025363,187.072039,internal 3:4 (+1),-0.00070573
7918,227,494.237812,internal 4:8 (+1) / internal 4:13-NH3-NH3 (+2) (C13),-0.00203917,566.278227,internal 3:8 (+1) (C13),-0.00198556
20582,228,667.887312,No Match,-1000.0,500.357482,y4 (+1),-0.00198796
