,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum,Cluster ID
33,[b7-2(H2O)]/[b7-NH3-H2O] (1+) @ 807.36 & y3 (1+) @ 410.11,,,,1+,807.36,y3,,,1+,410.11,0.0,0.0,,409.18488999999994,,410.19213999999994,,-0.08213999999992438,1217.47,2024.83,1627.58,m1+m2,1217.47,3
34,y1(1+) @ 181.74 & [b9-H3PO4] (1+) @ 973.65,y1,,,1+,181.74,b9,H3PO4,-,1+,973.65,0.0,97.97689557339001,181.07389,1070.41439,182.08114,973.4447444266099,-0.3411399999999958,0.20525557339010447,1155.3899999999999,1337.13,2129.04,2m1+m2,1337.13,-1
35,[b7-H3PO4-H2O] (1+) @ 727.27 & y3 (1+) @ 410.25,b7,H3PO4-H2O,-,1+,727.27,y3,,,1+,410.25,115.98746025742001,0.0,842.30339,409.18488999999994,727.32317974258,410.19213999999994,-0.05317974258002778,0.05786000000006197,1137.52,1864.79,1547.77,m1+m2,1137.52,4
36,y1 (1+) @ 181.38 & b9 (1+) @ 1071.1,y1,,,1+,181.38,b9,,,1+,1071.1,0.0,0.0,181.07389,1070.41439,182.08114,1071.42164,-0.7011400000000094,-0.32164000000011583,1252.48,1433.86,2323.58,m1+m2,1252.48,0
37,b7 (1+) @ 843.61 & ai8-9 (1+) @ 200.62,b7,,,1+,843.61,ai8-9,,,1+,200.62,0.0,0.0,842.30339,200.10039999999998,843.31064,201.10764999999998,0.29935999999997875,-0.4876499999999737,1044.23,1887.8400000000001,1244.85,m1+2m2,1244.85,-1
38,[b9-H3PO4-H2O] (1+) @ 955.76 & y1 (1+) 181.5,b9,H3PO4-H2O,-,1+,955.76,,,,,,115.98746025742001,0.0,1070.41439,,955.4341797425799,,0.325820257420105,,,,,m1+2m2,,
39,??? @ 867.7 & [y2 – H2O] (1+) @ 291.9,???,,,,867.7,y2,H2O,-,1+,291.9,0.0,18.01056468403,,310.11647999999997,,293.11316531597,,-1.2131653159700022,1159.6,2027.3000000000002,1451.5,m1+m2,1159.6,-1
40,b6 (1+) @ 743.52 & bi7-9 (1+) @ 329.71,b6,,,1+,743.52,bi7-9,,,1+,329.71,0.0,0.0,741.25571,329.15868,742.26296,330.16593,1.2570399999999609,-0.4559300000000235,1073.23,1816.75,1402.94,m1+2m2,1402.94,-1
41,y2 (1+) @ 311.27 & [b7-NH3] (1+) @ 826.46,y2,,,1+,311.27,b7,NH3,-,1+,826.46,0.0,17.02654910112,310.11647999999997,842.30339,311.12372999999997,826.28409089888,0.14627000000001544,0.1759091011200553,1137.73,1449.0,1964.19,m1+m2,1137.73,4
42,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,bi3-8,,,1+,627.78,y2,,,1+,310.79,0.0,0.0,654.2448099999999,310.11647999999997,655.2520599999999,311.12372999999997,-27.472059999999942,-0.3337299999999459,938.5699999999999,1566.35,1249.3600000000001,m1+2m2,1249.3600000000001,-1
43,[y3-NH3] (1+) @ 392.06 & [b7-NH3] (1+) @ 824.85,y3,NH3,-,1+,392.06,b7,NH3,-,1+,824.85,17.02654910112,17.02654910112,409.18488999999994,842.30339,393.16559089887994,826.28409089888,-1.1055908988799388,-1.4340908988799583,1216.91,1608.97,2041.76,m1+m2,1216.91,3
44,728.32 & 569.4,,,,,728.32,,,,,569.4,0.0,0.0,,,,,,,1297.72,2026.04,1867.12,m1+m2,1297.72,-1
45,844.84 & 274.35,,,,,844.84,,,,,274.35,0.0,0.0,,,,,,,1119.19,1964.0300000000002,1393.54,m1+m2,1119.19,-1
46,844.25 & 806.82,,,,,844.25,,,,,806.82,0.0,0.0,,,,,,,1651.0700000000002,2495.32,2457.8900000000003,m1+m2,1651.0700000000002,-1
47,587.33 & 538.42,,,,,587.33,,,,,538.42,0.0,0.0,,,,,,,1125.75,1713.08,1664.17,m1+m2,1125.75,-1
48,535.98 & 435.95,,,,,535.98,,,,,435.95,0.0,0.0,,,,,,,971.9300000000001,1507.91,1407.88,m1+2m2,1407.88,-1
49,939.22 & 609.33,,,,,939.22,,,,,609.33,0.0,0.0,,,,,,,1548.5500000000002,2487.77,2157.88,m1+m2,1548.5500000000002,-1
50,941.73 & 274.8,,,,,941.73,,,,,274.8,0.0,0.0,,,,,,,1216.53,2158.26,1491.33,m1+m2,1216.53,3
